μῆνιν|μῆνις
τεύχει|τεύχω
οὕνεκ̓|οὕνεκα
κούρης|κόρη
Χρυσηΐδος|Χρυσηίς
ἀγλά̓|ἀγλαός
ἔθελον|ἐθέλω
δέξασθαι|δέχομαι
πολὺ|πολύς
βούλομαι|βούλομαι
αὐτὴν|αὐτός
οἴκοι|οἴκοι
ἔχειν|ἔχω
Κλυταιμνήστρης|Κλυταιμνήστρη
προβέβουλα|προβέβουλα
κουριδίης|κουρίδιος
ἀλόχου|ἄλοχος
ἑθέν|ἕ
ἐστι|εἰμί
χερείων|χερείων
δέμας|δέμας
φυήν|φυή
ἂρ|ἄρα
φρένας|φρήν
ἔργα|ἔργον
ὧς|ὡς
ἐθέλω|ἐθέλω
πάλιν|πάλιν
ἄμεινον|ἀμείνων
βούλομ̓|βούλομαι
σῶν|σῶς
ἔμμεναι|εἰμί
ἀπολέσθαι|ἀπόλλυμι
γέρας|γέρας
αὐτίχ̓|αὐτίκα
ἑτοιμάσατ̓|ἑτοιμάζω
μὴ|μή
οἶος|οἶος
ἀγέραστος|ἀγέραστος
ἔω|εἰμί
ἔοικε|ἔοικα
λεύσσετε|λεύσσω
ἔρχεται|ἔρχομαι
ἄλλῃ|ἄλλῃ
ἠμείβετ̓|ἀμείβω
ἔπειτα|ἔπειτα
ποδάρκης|ποδάρκης
κύδιστε|κύδιστος
φιλοκτεανώτατε|φιλοκτέανος
πῶς|πῶς
δώσουσι|δίδωμι
μεγάθυμοι|μεγάθυμος
που|πού
ἴδμεν|οἶδα
ξυνήϊα|ξυνήιος
κείμενα|κεῖμαι
πολλά|πολύς
πολίων|πόλις
ἐξεπράθομεν|ἐκπέρθω
δέδασται|δατέομαι
λαοὺς|λαός
ἐπέοικε|ἐπέοικε
παλίλλογα|παλίλλογος
ταῦτ̓|οὗτος
ἐπαγείρειν|ἐπαγείρω
τήνδε|ὅδε
θεῷ|θεός
πρόες|προίημι
τριπλῇ|τριπλόος
τετραπλῇ|τετραπλόος
ἀποτείσομεν|ἀποτίνω
κέ|ἄν
ποθι|ποθι
Ζεὺς|Ζεύς
δῷσι|δίδωμι
Τροίην|Τροία
εὐτείχεον|εὐτείχεος
ἐξαλαπάξαι|ἐξαλαπάζω
ἀγαθός|ἀγαθός
ἐὼν|εἰμί
θεοείκελ̓|θεοείκελος
Ἀχιλλεῦ|Ἀχιλλεύς
κλέπτε|κλέπτω
νόῳ|νόος
παρελεύσεαι|παρέρχομαι
πείσεις|πείθω
ἐθέλεις|ἐθέλω
ὄφῤ|ὄφρα
αὐτὸς|αὐτός
ἔχῃς|ἔχω
ἔμ̓|ἐγώ
αὔτως|αὔτως
ἧσθαι|ἧμαι
δευόμενον|δεύω
κέλεαι|κέλομαι
τήνδ̓|ὅδε
ἀποδοῦναι|ἀποδίδωμι
ἄρσαντες|ἀραρίσκω
θυμὸν|θυμός
ὅπως|ὅπως
ἀντάξιον|ἀντάξιος
ἔσται|εἰμί
δώωσιν|δίδωμι
ἕλωμαι|αἱρέω
τεὸν|τεός
Αἴαντος|Αἴας
ἰὼν|εἶμι
Ὀδυσῆος|Ὀδυσσεύς
ἄξω|ἄγω
ἑλών|αἱρέω
κεχολώσεται|χολόω
ὅν|ὅς
ἵκωμαι|ἱκνέομαι
ταῦτα|οὗτος
μεταφρασόμεσθα|μεταφράζω
νῆα|ναῦς
μέλαιναν|μέλας
ἐρύσσομεν|ἐρύω
ἅλα|ἅλς
δῖαν|δῖος
ἐρέτας|ἐρέτης
ἐπιτηδὲς|ἐπιτηδές
ἀγείρομεν|ἀγείρω
θείομεν|τίθημι
ἂν|ἀνά
Χρυσηΐδα|Χρυσηίς
καλλιπάρῃον|καλλιπάρηος
βήσομεν|βαίνω
εἷς|εἷς
ἀρχὸς|ἀρχός
ἀνὴρ|ἀνήρ
βουληφόρος|βουληφόρος
ἔστω|εἰμί
Αἴας|Αἴας
Ἰδομενεὺς|Ἰδομενεύς
Ὀδυσσεὺς|Ὀδυσσεύς
ἠὲ|ἠέ
Πηλεΐδη|Πηλείδης
ἐκπαγλότατ̓|ἔκπαγλος
ἥμιν|ἐγώ
ἑκάεργον|ʽἑκάεργος
ἱλάσσεαι|ἱλάσκομαι
ἱερὰ|ἱερόν
ῥέξας|ῥέζω
ὑπόδρα|ὑπόδρα
ἰδὼν|εἶδον
ἀναιδείην|ἀναίδεια
ἐπιειμένε|ἐπιέννυμι
κερδαλεόφρον|κερδαλεόφρων
πείθηται|πείθω
ὁδὸν|ὁδός
ἐλθέμεναι|ἔρχομαι
ἀνδράσιν|ἀνήρ
